Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityGpc,noExtension_textblob_textLemma_standardList_caseSensitive,noExtension,textblob,textLemma,standardList,caseSensitive,"0,515","0,4640883978","0,5570776256","0,6885245902","0,35","0,4388489209","0,7625","0,5636867555","0,55625","0,5105830117",42,78,61,19
polarityGpc,noExtension_tokens_noLemma_standardList_caseInSensitive,noExtension,tokens,noLemma,standardList,caseInSensitive,"0,51","0,4787234043","0,5377358491","0,737704918","0,3543307087","0,4100719424","0,7808219178","0,5738884302","0,5675763132","0,5082296267",45,82,57,16
polarityGpc,noExtension_treetagger_textLemma_enhancedList_caseSensitive,noExtension,treetagger,textLemma,enhancedList,caseSensitive,"0,51","0,3378378378","0,6111111111","0,4098360656","0,2873563218","0,5539568345","0,6814159292","0,4818964501","0,4843861255","0,4744744745",25,62,77,36
polarityGpc,noExtension_tokens_noLemma_enhancedList_caseSensitive,noExtension,tokens,noLemma,enhancedList,caseSensitive,"0,505","0,3612903226","0,5959183673","0,4590163934","0,2978723404","0,5251798561","0,6886792453","0,4920981248","0,4932757929","0,478604345",28,66,73,33
polarityGpc,noExtension_treetagger_bothLemma_enhancedList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedList,caseInSensitive,"0,505","0,3612903226","0,5959183673","0,4590163934","0,2978723404","0,5251798561","0,6886792453","0,4920981248","0,4932757929","0,478604345",28,66,73,33
polarityGpc,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,505","0,4342857143","0,56","0,6229508197","0,3333333333","0,4532374101","0,7325581395","0,5380941149","0,5329457364","0,4971428571",38,76,63,23
polarityGpc,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,505","0,4342857143","0,56","0,6229508197","0,3333333333","0,4532374101","0,7325581395","0,5380941149","0,5329457364","0,4971428571",38,76,63,23
polarityGpc,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,505","0,4342857143","0,56","0,6229508197","0,3333333333","0,4532374101","0,7325581395","0,5380941149","0,5329457364","0,4971428571",38,76,63,23
polarityGpc,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,505","0,4342857143","0,56","0,6229508197","0,3333333333","0,4532374101","0,7325581395","0,5380941149","0,5329457364","0,4971428571",38,76,63,23
polarityGpc,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,5","0,3506493506","0,593495935","0,4426229508","0,2903225806","0,5251798561","0,6822429907","0,4839014035","0,4862827857","0,4720726428",27,66,73,34
polarityGpc,noExtension_treetagger_bothLemma_enhancedList_caseSensitive,noExtension,treetagger,bothLemma,enhancedList,caseSensitive,"0,495","0,3483870968","0,587755102","0,4426229508","0,2872340426","0,5179856115","0,679245283","0,4803042812","0,4832396628","0,4680710994",27,67,72,34
polarityGpc,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,495","0,3483870968","0,587755102","0,4426229508","0,2872340426","0,5179856115","0,679245283","0,4803042812","0,4832396628","0,4680710994",27,67,72,34
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"0,5703125","0,4107261332","0,64414901","0,5303278689","0,3734530074","0,5878597122","0,7480044415","0,5590937905","0,5607287244","0,5274375716","32,35","57,2875","81,7125","28,65"
,,,,,,,"0,7","0,5269461078","0,8136645963","0,7868852459","0,5294117647","0,9424460432","0,8289473684","0,637634155","0,6226293796","0,5939451569",48,82,131,53
,,,,,,,"0,495","0,2051282051","0,5377358491","0,131147541","0,2872340426","0,4100719424","0,679245283","0,4803042812","0,4832396628","0,4680710994",8,8,57,13
