Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityBawlDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,noExtension_tokens_noLemma_enhancedFilteredList_caseInSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,4","0,4642857143","0,3181818182","0,8524590164","0,3190184049","0,2014388489","0,7567567568","0,5269489327","0,5378875808","0,3912337662",52,111,28,9
polarityBawlDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,4","0,4736842105","0,3023255814","0,8852459016","0,3233532934","0,1870503597","0,7878787879","0,5361481307","0,5556160406","0,388004896",54,113,26,7
polarityBawlDichotom,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,4","0,4495412844","0,3406593407","0,8032786885","0,3121019108","0,2230215827","0,7209302326","0,5131501356","0,5165160717","0,3951003125",49,108,31,12
polarityBawlDichotom,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,4","0,4495412844","0,3406593407","0,8032786885","0,3121019108","0,2230215827","0,7209302326","0,5131501356","0,5165160717","0,3951003125",49,108,31,12
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,4","0,4339622642","0,3617021277","0,7540983607","0,3046357616","0,2446043165","0,693877551","0,4993513386","0,4992566563","0,3978321959",46,105,34,15
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,4","0,4392523364","0,3548387097","0,7704918033","0,3071895425","0,2374100719","0,7021276596","0,5039509376","0,504658601","0,3970455231",47,106,33,14
polarityBawlDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,4","0,4444444444","0,347826087","0,7868852459","0,3096774194","0,2302158273","0,7111111111","0,5085505366","0,5103942652","0,3961352657",48,107,32,13
polarityBawlDichotom,noExtension_tokens_noLemma_enhancedFilteredList_caseSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,395","0,4573991031","0,3163841808","0,8360655738","0,3148148148","0,2014388489","0,7368421053","0,5187522113","0,52582846","0,386891642",51,111,28,10
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,395","0,4423963134","0,3387978142","0,7868852459","0,3076923077","0,2230215827","0,7045454545","0,5049534143","0,5061188811","0,3905970638",48,108,31,13
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,395","0,4474885845","0,3314917127","0,8032786885","0,3101265823","0,2158273381","0,7142857143","0,5095530133","0,5122061483","0,3894901486",49,109,30,12
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,395","0,4669603524","0,3005780347","0,868852459","0,3192771084","0,1870503597","0,7647058824","0,5279514094","0,5419914954","0,3837691936",53,113,26,8
polarityBawlDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,395","0,4474885845","0,3314917127","0,8032786885","0,3101265823","0,2158273381","0,7142857143","0,5095530133","0,5122061483","0,3894901486",49,109,30,12
polarityBawlDichotom,noExtension_tokens_noLemma_standardList_caseSensitive,noExtension,tokens,noLemma,standardList,caseSensitive,"0,39","0,4403669725","0,3296703297","0,7868852459","0,3057324841","0,2158273381","0,6976744186","0,501356292","0,5017034513","0,3850186511",48,109,30,13
polarityBawlDichotom,noExtension_treetagger_textLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,39","0,4649122807","0,2906976744","0,868852459","0,3173652695","0,1798561151","0,7575757576","0,5243542871","0,5374705135","0,3778049776",53,114,25,8
polarityBawlDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,39","0,4649122807","0,2906976744","0,868852459","0,3173652695","0,1798561151","0,7575757576","0,5243542871","0,5374705135","0,3778049776",53,114,25,8
polarityBawlDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,39","0,4649122807","0,2906976744","0,868852459","0,3173652695","0,1798561151","0,7575757576","0,5243542871","0,5374705135","0,3778049776",53,114,25,8
polarityBawlDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,39","0,4649122807","0,2906976744","0,868852459","0,3173652695","0,1798561151","0,7575757576","0,5243542871","0,5374705135","0,3778049776",53,114,25,8
polarityBawlDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,39","0,4601769912","0,2988505747","0,8524590164","0,3151515152","0,1870503597","0,7428571429","0,5197546881","0,529004329","0,3795137829",52,113,26,9
