Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityCdDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,53","0,3896103896","0,6178861789","0,4918032787","0,3225806452","0,5467625899","0,7102803738","0,5192829343","0,5164305095","0,5037482842",30,63,76,31
polarityCdDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,525","0,3870967742","0,612244898","0,4918032787","0,3191489362","0,5395683453","0,7075471698","0,515685812","0,513348053","0,4996708361",30,64,75,31
polarityCdDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,52","0,4838709677","0,5514018692","0,737704918","0,36","0,4244604317","0,7866666667","0,5810826748","0,5733333333","0,5176364185",45,80,59,16
polarityCdDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,515","0,4812834225","0,544600939","0,737704918","0,3571428571","0,4172661871","0,7837837838","0,5774855525","0,5704633205","0,5129421807",45,81,58,16
polarityCdDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,5","0,4382022472","0,5495495496","0,6393442623","0,3333333333","0,4388489209","0,734939759","0,5390965916","0,5341365462","0,4938758984",39,78,61,22
polarityCdDichotom,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,495","0,4820512821","0,5073170732","0,7704918033","0,3507462687","0,3741007194","0,7878787879","0,5722962614","0,5693125283","0,4946841776",47,87,52,14
polarityCdDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,495","0,4357541899","0,5429864253","0,6393442623","0,3305084746","0,4316546763","0,7317073171","0,5354994693","0,5311078958","0,4893703076",39,79,60,22
polarityCdDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,49","0,3780487805","0,5677966102","0,5081967213","0,3009708738","0,4820143885","0,6907216495","0,4951055549","0,4958462616","0,4729226953",31,72,67,30
polarityCdDichotom,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,49","0,4795918367","0,5","0,7704918033","0,3481481481","0,3669064748","0,7846153846","0,568699139","0,5663817664","0,4897959184",47,88,51,14
polarityCdDichotom,dtaExtended_treetagger_bothLemma_standardList_caseInSensitive,dtaExtended,treetagger,bothLemma,standardList,caseInSensitive,"0,49","0,5048543689","0,4742268041","0,8524590164","0,3586206897","0,3309352518","0,8363636364","0,5916971341","0,597492163","0,4895405865",52,93,46,9
polarityCdDichotom,dtaExtended_treetagger_bothLemma_standardList_caseSensitive,dtaExtended,treetagger,bothLemma,standardList,caseSensitive,"0,49","0,5096153846","0,46875","0,868852459","0,3605442177","0,3237410072","0,8490566038","0,5962967331","0,6048004107","0,4891826923",53,94,45,8
polarityCdDichotom,noExtension_textblob_bothLemma_enhancedList_caseInSensitive,noExtension,textblob,bothLemma,enhancedList,caseInSensitive,"0,485","0,418079096","0,5381165919","0,606557377","0,3189655172","0,4316546763","0,7142857143","0,5191060267","0,5166256158","0,478097844",37,79,60,24
polarityCdDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,485","0,3680981595","0,5654008439","0,4918032787","0,2941176471","0,4820143885","0,6836734694","0,4869088336","0,4888955582","0,4667495017",30,72,67,31
polarityCdDichotom,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,485","0,449197861","0,5164319249","0,6885245902","0,3333333333","0,3956834532","0,7432432432","0,5421040217","0,5382882883","0,4828148929",42,84,55,19
polarityCdDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,485","0,449197861","0,5164319249","0,6885245902","0,3333333333","0,3956834532","0,7432432432","0,5421040217","0,5382882883","0,4828148929",42,84,55,19
polarityCdDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,485","0,449197861","0,5164319249","0,6885245902","0,3333333333","0,3956834532","0,7432432432","0,5421040217","0,5382882883","0,4828148929",42,84,55,19
polarityCdDichotom,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,48","0,4408602151","0,5140186916","0,6721311475","0,328","0,3956834532","0,7333333333","0,5339073004","0,5306666667","0,4774394533",41,84,55,20
polarityCdDichotom,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,48","0,4090909091","0,5357142857","0,5901639344","0,3130434783","0,4316546763","0,7058823529","0,5109093053","0,5094629156","0,4724025974",36,79,60,25
polarityCdDichotom,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,48","0,4090909091","0,5357142857","0,5901639344","0,3130434783","0,4316546763","0,7058823529","0,5109093053","0,5094629156","0,4724025974",36,79,60,25
polarityCdDichotom,noExtension_textblob_textLemma_enhancedList_caseInSensitive,noExtension,textblob,textLemma,enhancedList,caseInSensitive,"0,475","0,406779661","0,5291479821","0,5901639344","0,3103448276","0,4244604317","0,7023809524","0,507312183","0,50636289","0,4679638215",36,80,59,25
polarityCdDichotom,dtaExtended_treetagger_textLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseInSensitive,"0,475","0,4776119403","0,472361809","0,7868852459","0,3428571429","0,3381294964","0,7833333333","0,5625073712","0,5630952381","0,4749868747",48,92,47,13
polarityCdDichotom,dtaExtended_treetagger_textLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseSensitive,"0,475","0,4776119403","0,472361809","0,7868852459","0,3428571429","0,3381294964","0,7833333333","0,5625073712","0,5630952381","0,4749868747",48,92,47,13
polarityCdDichotom,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,475","0,4615384615","0,487804878","0,737704918","0,3358208955","0,3597122302","0,7575757576","0,5487085741","0,5466983265","0,4746716698",45,89,50,16
polarityCdDichotom,dtaExtended_tokens_noLemma_noStopwordList_caseInSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseInSensitive,"0,47","0,47","0,47","0,7704918033","0,3381294964","0,3381294964","0,7704918033","0,5543106498","0,5543106498","0,47",47,92,47,14
polarityCdDichotom,dtaExtended_tokens_noLemma_noStopwordList_caseSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseSensitive,"0,47","0,47","0,47","0,7704918033","0,3381294964","0,3381294964","0,7704918033","0,5543106498","0,5543106498","0,47",47,92,47,14
polarityCdDichotom,dtaExtended_tokens_noLemma_enhancedFilteredList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,47","0,4421052632","0,4952380952","0,6885245902","0,3255813953","0,3741007194","0,7323943662","0,5313126548","0,5289878808","0,4686716792",42,87,52,19
polarityCdDichotom,dtaExtended_tokens_noLemma_enhancedFilteredList_caseSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,47","0,4421052632","0,4952380952","0,6885245902","0,3255813953","0,3741007194","0,7323943662","0,5313126548","0,5289878808","0,4686716792",42,87,52,19
polarityCdDichotom,dtaExtended_treetagger_textLemma_standardList_caseInSensitive,dtaExtended,treetagger,textLemma,standardList,caseInSensitive,"0,47","0,4803921569","0,4591836735","0,8032786885","0,3426573427","0,3237410072","0,7894736842","0,5635098479","0,5660655134","0,4697879152",49,94,45,12
polarityCdDichotom,dtaExtended_treetagger_textLemma_standardList_caseSensitive,dtaExtended,treetagger,textLemma,standardList,caseSensitive,"0,47","0,4803921569","0,4591836735","0,8032786885","0,3426573427","0,3237410072","0,7894736842","0,5635098479","0,5660655134","0,4697879152",49,94,45,12
polarityCdDichotom,noExtension_textblob_textLemma_enhancedList_caseSensitive,noExtension,textblob,textLemma,enhancedList,caseSensitive,"0,465","0,4022346369","0,5158371041","0,5901639344","0,3050847458","0,4100719424","0,6951219512","0,5001179384","0,5001033485","0,4590358705",36,82,57,25
polarityCdDichotom,dtaExtended_tokens_noLemma_enhancedList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedList,caseInSensitive,"0,465","0,3885714286","0,5244444444","0,5573770492","0,298245614","0,4244604317","0,6860465116","0,4909187404","0,4921460628","0,4565079365",34,80,59,27
polarityCdDichotom,dtaExtended_textblob_textLemma_standardList_caseInSensitive,dtaExtended,textblob,textLemma,standardList,caseInSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
polarityCdDichotom,noExtension_treetagger_textLemma_enhancedList_caseInSensitive,noExtension,treetagger,textLemma,enhancedList,caseInSensitive,"0,46","0,3414634146","0,5423728814","0,4590163934","0,2718446602","0,4604316547","0,6597938144","0,4597240241","0,4658192373","0,441918148",28,75,64,33
polarityCdDichotom,dtaExtended_tokens_noLemma_enhancedList_caseSensitive,dtaExtended,tokens,noLemma,enhancedList,caseSensitive,"0,46","0,3793103448","0,5221238938","0,5409836066","0,2920353982","0,4244604317","0,6781609195","0,4827220191","0,4850981589","0,4507171193",33,80,59,28
polarityCdDichotom,dtaExtended_textblob_textLemma_standardList_caseSensitive,dtaExtended,textblob,textLemma,standardList,caseSensitive,"0,46","0,4705882353","0,4489795918","0,7868852459","0,3356643357","0,3165467626","0,7719298246","0,5517160042","0,5537970801","0,4597839136",48,95,44,13
polarityCdDichotom,noExtension_textblob_bothLemma_enhancedList_caseSensitive,noExtension,textblob,bothLemma,enhancedList,caseSensitive,"0,455","0,3977900552","0,502283105","0,5901639344","0,3","0,3956834532","0,6875","0,4929236938","0,49375","0,4500365801",36,84,55,25
polarityCdDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,455","0,5067873303","0,3910614525","0,9180327869","0,35","0,2517985612","0,875","0,584915674","0,6125","0,4489243914",56,104,35,5
polarityCdDichotom,noExtension_treetagger_textLemma_enhancedList_caseSensitive,noExtension,treetagger,textLemma,enhancedList,caseSensitive,"0,45","0,3292682927","0,5338983051","0,4426229508","0,2621359223","0,4532374101","0,6494845361","0,4479301804","0,4558102292","0,4315832989",27,76,63,34
polarityCdDichotom,dtaExtended_tokens_noLemma_standardList_caseInSensitive,dtaExtended,tokens,noLemma,standardList,caseInSensitive,"0,45","0,4607843137","0,4387755102","0,7704918033","0,3286713287","0,309352518","0,7543859649","0,5399221606","0,5415286468","0,449779912",47,96,43,14
polarityCdDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,45","0,5","0,3888888889","0,9016393443","0,3459119497","0,2517985612","0,8536585366","0,5767189527","0,5997852431","0,4444444444",55,104,35,6
polarityCdDichotom,dtaExtended_textblob_bothLemma_standardList_caseInSensitive,dtaExtended,textblob,bothLemma,standardList,caseInSensitive,"0,45","0,4554455446","0,4444444444","0,7540983607","0,3262411348","0,3165467626","0,7457627119","0,5353225616","0,5360019233","0,4499449945",46,95,44,15
polarityCdDichotom,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,45","0,45","0,45","0,737704918","0,3237410072","0,3237410072","0,737704918","0,5307229626","0,5307229626","0,45",45,94,45,16
polarityCdDichotom,noExtension_treetagger_bothLemma_enhancedList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedList,caseInSensitive,"0,445","0,3272727273","0,5276595745","0,4426229508","0,2596153846","0,4460431655","0,6458333333","0,4443330581","0,452724359","0,4274661509",27,77,62,34
polarityCdDichotom,dtaExtended_tokens_noLemma_standardList_caseSensitive,dtaExtended,tokens,noLemma,standardList,caseSensitive,"0,445","0,4585365854","0,4307692308","0,7704918033","0,3263888889","0,3021582734","0,75","0,5363250383","0,5381944444","0,4446529081",47,97,42,14
polarityCdDichotom,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,445","0,4739336493","0,4126984127","0,8196721311","0,3333333333","0,2805755396","0,78","0,5501238354","0,5566666667","0,443316031",50,100,39,11
polarityCdDichotom,noExtension_treetagger_bothLemma_enhancedList_caseSensitive,noExtension,treetagger,bothLemma,enhancedList,caseSensitive,"0,44","0,3170731707","0,5254237288","0,4262295082","0,2524271845","0,4460431655","0,6391752577","0,4361363368","0,4458012211","0,4212484498",26,77,62,35
polarityCdDichotom,noExtension_textblob_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,435","0,4021164021","0,4644549763","0,6229508197","0,296875","0,3525179856","0,6805555556","0,4877344026","0,4887152778","0,4332856892",38,90,49,23
polarityCdDichotom,dtaExtended_textblob_bothLemma_standardList_caseSensitive,dtaExtended,textblob,bothLemma,standardList,caseSensitive,"0,435","0,4593301435","0,4083769634","0,7868852459","0,3243243243","0,2805755396","0,75","0,5337303927","0,5371621622","0,4338535534",48,100,39,13
polarityCdDichotom,noExtension_tokens_noLemma_enhancedList_caseInSensitive,noExtension,tokens,noLemma,enhancedList,caseInSensitive,"0,43","0,3448275862","0,4955752212","0,4918032787","0,2654867257","0,4028776978","0,6436781609","0,4473404883","0,4545824433","0,4202014037",30,83,56,31
polarityCdDichotom,noExtension_treetagger_textLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,43","0,412371134","0,4466019417","0,6557377049","0,3007518797","0,3309352518","0,6865671642","0,4933364784","0,4936595219","0,4294865379",40,93,46,21
polarityCdDichotom,noExtension_treetagger_textLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,43","0,40625","0,4519230769","0,6393442623","0,2977099237","0,3381294964","0,6811594203","0,4887368793","0,489434672","0,4290865385",39,92,47,22
polarityCdDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,425","0,4041450777","0,4444444444","0,6393442623","0,2954545455","0,3309352518","0,6764705882","0,485139757","0,4859625668","0,4242947611",39,93,46,22
polarityCdDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,425","0,4041450777","0,4444444444","0,6393442623","0,2954545455","0,3309352518","0,6764705882","0,485139757","0,4859625668","0,4242947611",39,93,46,22
polarityCdDichotom,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,425","0,4041450777","0,4444444444","0,6393442623","0,2954545455","0,3309352518","0,6764705882","0,485139757","0,4859625668","0,4242947611",39,93,46,22
polarityCdDichotom,noExtension_tokens_noLemma_enhancedList_caseSensitive,noExtension,tokens,noLemma,enhancedList,caseSensitive,"0,42","0,3333333333","0,4867256637","0,4754098361","0,2566371681","0,3956834532","0,632183908","0,4355466447","0,4444105381","0,4100294985",29,84,55,32
polarityCdDichotom,noExtension_treetagger_textLemma_noStopwordList_caseInSensitive,noExtension,treetagger,textLemma,noStopwordList,caseInSensitive,"0,42","0,4141414141","0,4257425743","0,6721311475","0,299270073","0,309352518","0,6825396825","0,4907418328","0,4909048778","0,4199419942",41,96,43,20
polarityCdDichotom,noExtension_treetagger_textLemma_noStopwordList_caseSensitive,noExtension,treetagger,textLemma,noStopwordList,caseSensitive,"0,42","0,4081632653","0,431372549","0,6557377049","0,2962962963","0,3165467626","0,6769230769","0,4861422338","0,4866096866","0,4197679072",40,95,44,21
polarityCdDichotom,noExtension_textblob_bothLemma_standardList_caseInSensitive,noExtension,textblob,bothLemma,standardList,caseInSensitive,"0,42","0,4081632653","0,431372549","0,6557377049","0,2962962963","0,3165467626","0,6769230769","0,4861422338","0,4866096866","0,4197679072",40,95,44,21
polarityCdDichotom,noExtension_textblob_bothLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,42","0,4020618557","0,4368932039","0,6393442623","0,2932330827","0,3237410072","0,671641791","0,4815426347","0,4824374369","0,4194775298",39,94,45,22
polarityCdDichotom,noExtension_tokens_noLemma_standardList_caseSensitive,noExtension,tokens,noLemma,standardList,caseSensitive,"0,415","0,3463687151","0,4705882353","0,5081967213","0,2627118644","0,3741007194","0,6341463415","0,4411487204","0,4484291029","0,4084784752",31,87,52,30
polarityCdDichotom,noExtension_treetagger_textLemma_standardList_caseInSensitive,noExtension,treetagger,textLemma,standardList,caseInSensitive,"0,415","0,4120603015","0,4179104478","0,6721311475","0,2971014493","0,3021582734","0,6774193548","0,4871447105","0,4872604021","0,4149853746",41,97,42,20
polarityCdDichotom,noExtension_treetagger_textLemma_standardList_caseSensitive,noExtension,treetagger,textLemma,standardList,caseSensitive,"0,415","0,4060913706","0,4236453202","0,6557377049","0,2941176471","0,309352518","0,671875","0,4825451115","0,4829963235","0,4148683454",40,96,43,21
polarityCdDichotom,noExtension_textblob_textLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,415","0,380952381","0,4454976303","0,5901639344","0,28125","0,3381294964","0,6527777778","0,4641467154","0,4670138889","0,4132250056",36,92,47,25
polarityCdDichotom,noExtension_treetagger_bothLemma_noStopwordList_caseInSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,415","0,4179104478","0,4120603015","0,6885245902","0,3","0,2949640288","0,6833333333","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
