Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityCombined,dtaExtended_treetagger_textLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseInSensitive,"0,675","0,4444444444","0,7703180212","0,4262295082","0,4642857143","0,7841726619","0,7569444444","0,605201085","0,6106150794","0,6073812328",26,30,109,35
polarityCombined,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,675","0,4247787611","0,7735191638","0,393442623","0,4615384615","0,7985611511","0,75","0,596001887","0,6057692308","0,5991489624",24,28,111,37
polarityCombined,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,675","0,4247787611","0,7735191638","0,393442623","0,4615384615","0,7985611511","0,75","0,596001887","0,6057692308","0,5991489624",24,28,111,37
polarityCombined,dtaExtended_tokens_noLemma_noStopwordList_caseInSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseInSensitive,"0,67","0,4677419355","0,7608695652","0,4754098361","0,4603174603","0,7553956835","0,7664233577","0,6154027598","0,613370409","0,6143057504",29,34,105,32
polarityCombined,dtaExtended_tokens_noLemma_noStopwordList_caseSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseSensitive,"0,665","0,4462809917","0,7598566308","0,4426229508","0,45","0,7625899281","0,7571428571","0,6026064394","0,6035714286","0,6030688113",27,33,106,34
polarityCombined,dtaExtended_treetagger_textLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseSensitive,"0,665","0,4273504274","0,7632508834","0,4098360656","0,4464285714","0,7769784173","0,75","0,5934072414","0,5982142857","0,5953006554",25,31,108,36
polarityCombined,noExtension_treetagger_bothLemma_noStopwordList_caseInSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,66","0,4426229508","0,7553956835","0,4426229508","0,4426229508","0,7553956835","0,7553956835","0,5990093171","0,5990093171","0,5990093171",27,34,105,34
polarityCombined,noExtension_treetagger_bothLemma_noStopwordList_caseSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseSensitive,"0,655","0,4102564103","0,7561837456","0,393442623","0,4285714286","0,7697841727","0,7430555556","0,5816133978","0,5858134921","0,5832200779",24,32,107,37
polarityCombined,noExtension_treetagger_textLemma_noStopwordList_caseSensitive,noExtension,treetagger,textLemma,noStopwordList,caseSensitive,"0,61","0,5243902439","0,6694915254","0,7049180328","0,4174757282","0,5683453237","0,8144329897","0,6366316783","0,6159543589","0,5969408847",43,60,79,18
polarityCombined,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,61","0,4347826087","0,7022900763","0,4918032787","0,3896103896","0,6618705036","0,7479674797","0,5768368911","0,5687889346","0,5685363425",30,47,92,31
polarityCombined,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,6","0,4871794872","0,6721311475","0,6229508197","0,4","0,5899280576","0,780952381","0,6064394386","0,5904761905","0,5796553174",38,57,82,23
polarityCombined,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,595","0,4840764331","0,6666666667","0,6229508197","0,3958333333","0,582733813","0,7788461538","0,6028423163","0,5873397436","0,5753715499",38,58,81,23
polarityCombined,noExtension_treetagger_textLemma_noStopwordList_caseInSensitive,noExtension,treetagger,textLemma,noStopwordList,caseInSensitive,"0,585","0,5088757396","0,6406926407","0,7049180328","0,3981481481","0,5323741007","0,8043478261","0,6186460668","0,6012479871","0,5747841902",43,65,74,18
polarityCombined,noExtension_textblob_textLemma_noStopwordList_caseSensitive,noExtension,textblob,textLemma,noStopwordList,caseSensitive,"0,585","0,464516129","0,6612244898","0,5901639344","0,3829787234","0,582733813","0,7641509434","0,5864488737","0,5735648334","0,5628703094",36,58,81,25
polarityCombined,noExtension_textblob_bothLemma_noStopwordList_caseSensitive,noExtension,textblob,bothLemma,noStopwordList,caseSensitive,"0,585","0,4844720497","0,6527196653","0,6393442623","0,39","0,5611510791","0,78","0,6002476707","0,585","0,5685958575",39,61,78,22
polarityCombined,noExtension_textblob_textLemma_noStopwordList_caseInSensitive,noExtension,textblob,textLemma,noStopwordList,caseInSensitive,"0,58","0,4683544304","0,652892562","0,606557377","0,381443299","0,5683453237","0,7669902913","0,5874513504","0,5742167951","0,5606234962",37,60,79,24
polarityCombined,noExtension_tokens_noLemma_noStopwordList_caseSensitive,noExtension,tokens,noLemma,noStopwordList,caseSensitive,"0,52","0,4352941176","0,5826086957","0,606557377","0,3394495413","0,4820143885","0,7362637363","0,5442858828","0,5378566388","0,5089514067",37,72,67,24
polarityCombined,noExtension_tokens_noLemma_noStopwordList_caseInSensitive,noExtension,tokens,noLemma,noStopwordList,caseInSensitive,"0,5","0,4565217391","0,537037037","0,6885245902","0,3414634146","0,4172661871","0,7532467532","0,5528953886","0,5473550839","0,4967793881",42,81,58,19
polarityCombined,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,485","0,4771573604","0,4926108374","0,7704918033","0,3455882353","0,3597122302","0,78125","0,5651020167","0,5634191176","0,4848840989",47,89,50,14
polarityCombined,dtaExtended_tokens_noLemma_enhancedList_caseSensitive,dtaExtended,tokens,noLemma,enhancedList,caseSensitive,"0,48","0,4747474747","0,4851485149","0,7704918033","0,3430656934","0,3525179856","0,7777777778","0,5615048944","0,5604217356","0,4799479948",47,90,49,14
polarityCombined,dtaExtended_tokens_noLemma_enhancedFilteredList_caseSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,48","0,5047619048","0,4526315789","0,868852459","0,355704698","0,309352518","0,8431372549","0,5891024885","0,5994209764","0,4786967419",53,96,43,8
polarityCombined,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,48","0,4851485149","0,4747474747","0,8032786885","0,3475177305","0,3381294964","0,7966101695","0,5707040925","0,57206395","0,4799479948",49,92,47,12
polarityCombined,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,48","0,4747474747","0,4851485149","0,7704918033","0,3430656934","0,3525179856","0,7777777778","0,5615048944","0,5604217356","0,4799479948",47,90,49,14
polarityCombined,noExtension_treetagger_textLemma_enhancedList_caseInSensitive,noExtension,treetagger,textLemma,enhancedList,caseInSensitive,"0,475","0,472361809","0,4776119403","0,7704918033","0,3405797101","0,345323741","0,7741935484","0,5579077721","0,5573866293","0,4749868747",47,91,48,14
polarityCombined,dtaExtended_tokens_noLemma_enhancedList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedList,caseInSensitive,"0,475","0,4670050761","0,4827586207","0,7540983607","0,3382352941","0,3525179856","0,765625","0,5533081731","0,5519301471","0,4748818484",46,90,49,15
polarityCombined,noExtension_treetagger_textLemma_enhancedList_caseSensitive,noExtension,treetagger,textLemma,enhancedList,caseSensitive,"0,47","0,47","0,47","0,7704918033","0,3381294964","0,3381294964","0,7704918033","0,5543106498","0,5543106498","0,47",47,92,47,14
polarityCombined,noExtension_textblob_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,47","0,4952380952","0,4421052632","0,8524590164","0,3489932886","0,3021582734","0,8235294118","0,5773086449","0,5862613502","0,4686716792",52,97,42,9
polarityCombined,dtaExtended_tokens_noLemma_enhancedFilteredList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,47","0,5","0,4361702128","0,868852459","0,3509933775","0,2949640288","0,8367346939","0,5819082439","0,5938640357","0,4680851064",53,98,41,8
polarityCombined,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,47","0,4803921569","0,4591836735","0,8032786885","0,3426573427","0,3237410072","0,7894736842","0,5635098479","0,5660655134","0,4697879152",49,94,45,12
polarityCombined,noExtension_textblob_textLemma_enhancedList_caseInSensitive,noExtension,textblob,textLemma,enhancedList,caseInSensitive,"0,465","0,4623115578","0,4676616915","0,7540983607","0,3333333333","0,3381294964","0,7580645161","0,5461139285","0,5456989247","0,4649866247",46,92,47,15
polarityCombined,noExtension_textblob_textLemma_enhancedList_caseSensitive,noExtension,textblob,textLemma,enhancedList,caseSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
polarityCombined,noExtension_treetagger_bothLemma_enhancedList_caseSensitive,noExtension,treetagger,bothLemma,enhancedList,caseSensitive,"0,465","0,4568527919","0,4729064039","0,737704918","0,3308823529","0,345323741","0,75","0,5415143295","0,5404411765","0,4648795979",45,91,48,16
polarityCombined,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,465","0,4976525822","0,4278074866","0,868852459","0,3486842105","0,2877697842","0,8333333333","0,5783111216","0,5910087719","0,4627300344",53,99,40,8
polarityCombined,noExtension_treetagger_bothLemma_enhancedList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedList,caseInSensitive,"0,46","0,4653465347","0,4545454545","0,7704918033","0,3333333333","0,3237410072","0,7627118644","0,5471164052","0,5480225989","0,4599459946",47,94,45,14
polarityCombined,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,46","0,504587156","0,4065934066","0,9016393443","0,3503184713","0,2661870504","0,8604651163","0,5839131973","0,6053917938","0,4555902813",55,102,37,6
polarityCombined,noExtension_textblob_bothLemma_enhancedList_caseInSensitive,noExtension,textblob,bothLemma,enhancedList,caseInSensitive,"0,46","0,4545454545","0,4653465347","0,737704918","0,3284671533","0,3381294964","0,746031746","0,5379172072","0,5372494497","0,4599459946",45,92,47,16
polarityCombined,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,46","0,4653465347","0,4545454545","0,7704918033","0,3333333333","0,3237410072","0,7627118644","0,5471164052","0,5480225989","0,4599459946",47,94,45,14
polarityCombined,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,46","0,4905660377","0,4255319149","0,8524590164","0,3443708609","0,2877697842","0,8163265306","0,5701144003","0,5803486958","0,4580489763",52,99,40,9
polarityCombined,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,46","0,4757281553","0,4432989691","0,8032786885","0,3379310345","0,309352518","0,7818181818","0,5563156033","0,5598746082","0,4595135622",49,96,43,12
polarityCombined,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,46","0,4905660377","0,4255319149","0,8524590164","0,3443708609","0,2877697842","0,8163265306","0,5701144003","0,5803486958","0,4580489763",52,99,40,9
polarityCombined,noExtension_tokens_noLemma_standardList_caseSensitive,noExtension,tokens,noLemma,standardList,caseSensitive,"0,455","0,5067873303","0,3910614525","0,9180327869","0,35","0,2517985612","0,875","0,584915674","0,6125","0,4489243914",56,104,35,5
polarityCombined,dtaExtended_tokens_noLemma_standardList_caseSensitive,dtaExtended,tokens,noLemma,standardList,caseSensitive,"0,455","0,4976958525","0,4043715847","0,8852459016","0,3461538462","0,2661870504","0,8409090909","0,575716476","0,5935314685","0,4510337186",54,102,37,7
polarityCombined,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,455","0,4577114428","0,4522613065","0,7540983607","0,3285714286","0,3237410072","0,75","0,5389196839","0,5392857143","0,4549863747",46,94,45,15
polarityCombined,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,455","0,4930232558","0,4108108108","0,868852459","0,3441558442","0,273381295","0,8260869565","0,571116877","0,5851214003","0,4519170333",53,101,38,8
polarityCombined,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,455","0,4930232558","0,4108108108","0,868852459","0,3441558442","0,273381295","0,8260869565","0,571116877","0,5851214003","0,4519170333",53,101,38,8
polarityCombined,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,455","0,4882629108","0,4171122995","0,8524590164","0,3421052632","0,2805755396","0,8125","0,566517278","0,5773026316","0,4526876051",52,100,39,9
polarityCombined,noExtension_treetagger_textLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,45","0,495412844","0,3956043956","0,8852459016","0,3439490446","0,2589928058","0,8372093023","0,5721193537","0,5905791735","0,4455086198",54,103,36,7
polarityCombined,dtaExtended_tokens_noLemma_standardList_caseInSensitive,dtaExtended,tokens,noLemma,standardList,caseInSensitive,"0,45","0,4907407407","0,402173913","0,868852459","0,3419354839","0,2661870504","0,8222222222","0,5675197547","0,582078853","0,4464573269",53,102,37,8
polarityCombined,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,45","0,4907407407","0,402173913","0,868852459","0,3419354839","0,2661870504","0,8222222222","0,5675197547","0,582078853","0,4464573269",53,102,37,8
polarityCombined,noExtension_tokens_noLemma_enhancedFilteredList_caseInSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,445","0,4739336493","0,4126984127","0,8196721311","0,3333333333","0,2805755396","0,78","0,5501238354","0,5566666667","0,443316031",50,100,39,11
polarityCombined,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,445","0,4931506849","0,3867403315","0,8852459016","0,3417721519","0,2517985612","0,8333333333","0,5685222314","0,5875527426","0,4399455082",54,104,35,7
polarityCombined,noExtension_textblob_bothLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,445","0,4884792627","0,393442623","0,868852459","0,3397435897","0,2589928058","0,8181818182","0,5639226324","0,578962704","0,4409609428",53,103,36,8
polarityCombined,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,445","0,4837209302","0,4","0,8524590164","0,3376623377","0,2661870504","0,8043478261","0,5593230334","0,5710050819","0,4418604651",52,102,37,9
polarityCombined,noExtension_tokens_noLemma_enhancedList_caseInSensitive,noExtension,tokens,noLemma,enhancedList,caseInSensitive,"0,44","0,44","0,44","0,7213114754","0,3165467626","0,3165467626","0,7213114754","0,518929119","0,518929119","0,44",44,95,44,17
polarityCombined,noExtension_treetagger_textLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,44","0,4814814815","0,3913043478","0,8524590164","0,335483871","0,2589928058","0,8","0,5557259111","0,5677419355","0,4363929147",52,103,36,9
polarityCombined,noExtension_textblob_textLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,44","0,4716981132","0,4042553191","0,8196721311","0,3311258278","0,273381295","0,7755102041","0,5465267131","0,5533180159","0,4379767162",50,101,38,11
polarityCombined,noExtension_textblob_textLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,44","0,4716981132","0,4042553191","0,8196721311","0,3311258278","0,273381295","0,7755102041","0,5465267131","0,5533180159","0,4379767162",50,101,38,11
polarityCombined,noExtension_textblob_bothLemma_standardList_caseInSensitive,noExtension,textblob,bothLemma,standardList,caseInSensitive,"0,44","0,5","0,3636363636","0,9180327869","0,3435582822","0,2302158273","0,8648648649","0,5741243071","0,6042115735","0,4318181818",56,107,32,5
polarityCombined,noExtension_textblob_bothLemma_enhancedList_caseSensitive,noExtension,textblob,bothLemma,enhancedList,caseSensitive,"0,44","0,4455445545","0,4343434343","0,737704918","0,3191489362","0,309352518","0,7288135593","0,523528718","0,5239812477","0,4399439944",45,96,43,16
polarityCombined,dtaExtended_textblob_textLemma_standardList_caseSensitive,dtaExtended,textblob,textLemma,standardList,caseSensitive,"0,44","0,4909090909","0,3777777778","0,8852459016","0,3396226415","0,2446043165","0,8292682927","0,5649251091","0,5844454671","0,4343434343",54,105,34,7
polarityCombined,noExtension_tokens_noLemma_standardList_caseInSensitive,noExtension,tokens,noLemma,standardList,caseInSensitive,"0,435","0,4977777778","0,3542857143","0,9180327869","0,3414634146","0,2230215827","0,8611111111","0,5705271848","0,6012872629","0,426031746",56,108,31,5
polarityCombined,noExtension_tokens_noLemma_enhancedFilteredList_caseSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,435","0,4644549763","0,4021164021","0,8032786885","0,3266666667","0,273381295","0,76","0,5383299917","0,5433333333","0,4332856892",49,101,38,12
polarityCombined,dtaExtended_textblob_textLemma_standardList_caseInSensitive,dtaExtended,textblob,textLemma,standardList,caseInSensitive,"0,435","0,4886877828","0,3687150838","0,8852459016","0,3375","0,2374100719","0,825","0,5613279868","0,58125","0,4287014333",54,106,33,7
polarityCombined,dtaExtended_textblob_bothLemma_noStopwordList_caseSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseSensitive,"0,435","0,4932735426","0,3615819209","0,9016393443","0,3395061728","0,2302158273","0,8421052632","0,5659275858","0,590805718","0,4274277318",55,107,32,6
polarityCombined,noExtension_tokens_noLemma_enhancedList_caseSensitive,noExtension,tokens,noLemma,enhancedList,caseSensitive,"0,43","0,4411764706","0,4183673469","0,737704918","0,3146853147","0,2949640288","0,7192982456","0,5163344734","0,5169917802","0,4297719088",45,98,41,16
polarityCombined,dtaExtended_treetagger_textLemma_standardList_caseSensitive,dtaExtended,treetagger,textLemma,standardList,caseSensitive,"0,43","0,4864864865","0,3595505618","0,8852459016","0,3354037267","0,2302158273","0,8205128205","0,5577308645","0,5779582736","0,4230185241",54,107,32,7
polarityCombined,noExtension_textblob_textLemma_standardList_caseInSensitive,noExtension,textblob,textLemma,standardList,caseInSensitive,"0,425","0,4888888889","0,3428571429","0,9016393443","0,3353658537","0,2158273381","0,8333333333","0,5587333412","0,5843495935","0,4158730159",55,109,30,6
polarityCombined,noExtension_textblob_textLemma_standardList_caseSensitive,noExtension,textblob,textLemma,standardList,caseSensitive,"0,425","0,4888888889","0,3428571429","0,9016393443","0,3353658537","0,2158273381","0,8333333333","0,5587333412","0,5843495935","0,4158730159",55,109,30,6
polarityCombined,noExtension_textblob_bothLemma_standardList_caseSensitive,noExtension,textblob,bothLemma,standardList,caseSensitive,"0,425","0,4933920705","0,3352601156","0,9180327869","0,3373493976","0,2086330935","0,8529411765","0,5633329402","0,595145287","0,414326093",56,110,29,5
polarityCombined,dtaExtended_treetagger_textLemma_standardList_caseInSensitive,dtaExtended,treetagger,textLemma,standardList,caseInSensitive,"0,425","0,4843049327","0,3502824859","0,8852459016","0,3333333333","0,2230215827","0,8157894737","0,5541337422","0,5745614035","0,4172937093",54,108,31,7
polarityCombined,dtaExtended_textblob_bothLemma_standardList_caseInSensitive,dtaExtended,textblob,bothLemma,standardList,caseInSensitive,"0,425","0,4843049327","0,3502824859","0,8852459016","0,3333333333","0,2230215827","0,8157894737","0,5541337422","0,5745614035","0,4172937093",54,108,31,7
polarityCombined,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,425","0,4600938967","0,385026738","0,8032786885","0,3223684211","0,2589928058","0,75","0,5311357471","0,5361842105","0,4225603173",49,103,36,12
polarityCombined,noExtension_treetagger_textLemma_standardList_caseSensitive,noExtension,treetagger,textLemma,standardList,caseSensitive,"0,415","0,4845814978","0,323699422","0,9016393443","0,3313253012","0,2014388489","0,8235294118","0,5515390966","0,5774273565","0,4041404599",55,111,28,6
polarityCombined,noExtension_treetagger_bothLemma_standardList_caseInSensitive,noExtension,treetagger,bothLemma,standardList,caseInSensitive,"0,415","0,4890829694","0,3157894737","0,9180327869","0,3333333333","0,1942446043","0,84375","0,5561386956","0,5885416667","0,4024362216",56,112,27,5
polarityCombined,noExtension_treetagger_bothLemma_standardList_caseSensitive,noExtension,treetagger,bothLemma,standardList,caseSensitive,"0,415","0,4890829694","0,3157894737","0,9180327869","0,3333333333","0,1942446043","0,84375","0,5561386956","0,5885416667","0,4024362216",56,112,27,5
polarityCombined,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,415","0,4347826087","0,3937823834","0,737704918","0,3082191781","0,273381295","0,7037037037","0,5055431065","0,5059614409","0,4142824961",45,101,38,16
polarityCombined,noExtension_treetagger_textLemma_standardList_caseInSensitive,noExtension,treetagger,textLemma,standardList,caseInSensitive,"0,41","0,4869565217","0,3058823529","0,9180327869","0,3313609467","0,1870503597","0,8387096774","0,5525415733","0,5850353121","0,3964194373",56,113,26,5
polarityCombined,dtaExtended_treetagger_bothLemma_standardList_caseSensitive,dtaExtended,treetagger,bothLemma,standardList,caseSensitive,"0,405","0,4757709251","0,3121387283","0,8852459016","0,3253012048","0,1942446043","0,7941176471","0,539745253","0,5597094259","0,3939548267",54,112,27,7
polarityCombined,dtaExtended_treetagger_bothLemma_standardList_caseInSensitive,dtaExtended,treetagger,bothLemma,standardList,caseInSensitive,"0,4","0,4690265487","0,3103448276","0,868852459","0,3212121212","0,1942446043","0,7714285714","0,5315485317","0,5463203463","0,3896856881",53,112,27,8
polarityCombined,dtaExtended_textblob_bothLemma_standardList_caseSensitive,dtaExtended,textblob,bothLemma,standardList,caseSensitive,"0,4","0,4690265487","0,3103448276","0,868852459","0,3212121212","0,1942446043","0,7714285714","0,5315485317","0,5463203463","0,3896856881",53,112,27,8
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"0,484875","0,4749842783","0,4707899383","0,7711065574","0,3539876766","0,3592625899","0,7927427934","0,5651845737","0,573365235","0,4728871083","47,0375","89,0625","49,9375","13,9625"
