Lexicon,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,recallPositive,precisionPositive,F-MeasurePositive,recallNegative,precisionNegative,F-MeasureNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
SentiWSDichotom,noExtension_tokens_noLemma_noStopwordList_caseInSensitive,noExtension,tokens,noLemma,noStopwordList,caseInSensitive,"0,415","0,6885245902","0,3","0,4179104478","0,2949640288","0,6833333333","0,4120603015","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
SentiWSDichotom,noExtension_tokens_noLemma_noStopwordList_caseSensitive,noExtension,tokens,noLemma,noStopwordList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_tokens_noLemma_standardList_caseInSensitive,noExtension,tokens,noLemma,standardList,caseInSensitive,"0,415","0,6885245902","0,3","0,4179104478","0,2949640288","0,6833333333","0,4120603015","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
SentiWSDichotom,noExtension_tokens_noLemma_standardList_caseSensitive,noExtension,tokens,noLemma,standardList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_tokens_noLemma_enhancedList_caseInSensitive,noExtension,tokens,noLemma,enhancedList,caseInSensitive,"0,43","0,5409836066","0,2773109244","0,3666666667","0,381294964","0,6543209877","0,4818181818","0,4611392853","0,465815956","0,4242424242",33,86,53,28
SentiWSDichotom,noExtension_tokens_noLemma_enhancedList_caseSensitive,noExtension,tokens,noLemma,enhancedList,caseSensitive,"0,415","0,4918032787","0,2586206897","0,3389830508","0,381294964","0,630952381","0,4753363229","0,4365491214","0,4447865353","0,4071596869",30,86,53,31
SentiWSDichotom,noExtension_tokens_noLemma_enhancedFilteredList_caseInSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,425","0,6721311475","0,3014705882","0,4162436548","0,3165467626","0,6875","0,4334975369","0,4943389551","0,4944852941","0,4248705959",41,95,44,20
SentiWSDichotom,noExtension_tokens_noLemma_enhancedFilteredList_caseSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_treetagger_textLemma_noStopwordList_caseInSensitive,noExtension,treetagger,textLemma,noStopwordList,caseInSensitive,"0,43","0,7540983607","0,3172413793","0,4466019417","0,2877697842","0,7272727273","0,412371134","0,5209340724","0,5222570533","0,4294865379",46,99,40,15
SentiWSDichotom,noExtension_treetagger_textLemma_noStopwordList_caseSensitive,noExtension,treetagger,textLemma,noStopwordList,caseSensitive,"0,435","0,7213114754","0,3142857143","0,4378109453","0,309352518","0,7166666667","0,432160804","0,5153319967","0,5154761905","0,4349858746",44,96,43,17
SentiWSDichotom,noExtension_treetagger_textLemma_standardList_caseInSensitive,noExtension,treetagger,textLemma,standardList,caseInSensitive,"0,43","0,7540983607","0,3172413793","0,4466019417","0,2877697842","0,7272727273","0,412371134","0,5209340724","0,5222570533","0,4294865379",46,99,40,15
SentiWSDichotom,noExtension_treetagger_textLemma_standardList_caseSensitive,noExtension,treetagger,textLemma,standardList,caseSensitive,"0,435","0,7213114754","0,3142857143","0,4378109453","0,309352518","0,7166666667","0,432160804","0,5153319967","0,5154761905","0,4349858746",44,96,43,17
SentiWSDichotom,noExtension_treetagger_textLemma_enhancedList_caseInSensitive,noExtension,treetagger,textLemma,enhancedList,caseInSensitive,"0,45","0,5245901639","0,2831858407","0,367816092","0,4172661871","0,6666666667","0,5132743363","0,4709281755","0,4749262537","0,4405452141",32,81,58,29
SentiWSDichotom,noExtension_treetagger_textLemma_enhancedList_caseSensitive,noExtension,treetagger,textLemma,enhancedList,caseSensitive,"0,44","0,5081967213","0,2743362832","0,3563218391","0,4100719424","0,6551724138","0,5044247788","0,4591343319","0,4647543485","0,4303733089",31,82,57,30
SentiWSDichotom,noExtension_treetagger_textLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,445","0,7049180328","0,3161764706","0,4365482234","0,3309352518","0,71875","0,4532019704","0,5179266423","0,5174632353","0,4448750969",43,93,46,18
SentiWSDichotom,noExtension_treetagger_textLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,43","0,7049180328","0,309352518","0,43","0,309352518","0,7049180328","0,43","0,5071352754","0,5071352754","0,43",43,96,43,18
