Lexicon,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,recallPositive,precisionPositive,F-MeasurePositive,recallNegative,precisionNegative,F-MeasureNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
SentiWSDichotom,noExtension_textblob_textLemma_noStopwordList_caseInSensitive,noExtension,textblob,textLemma,noStopwordList,caseInSensitive,"0,425","0,6721311475","0,3014705882","0,4162436548","0,3165467626","0,6875","0,4334975369","0,4943389551","0,4944852941","0,4248705959",41,95,44,20
SentiWSDichotom,noExtension_textblob_textLemma_noStopwordList_caseSensitive,noExtension,textblob,textLemma,noStopwordList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_textblob_textLemma_standardList_caseInSensitive,noExtension,textblob,textLemma,standardList,caseInSensitive,"0,425","0,6721311475","0,3014705882","0,4162436548","0,3165467626","0,6875","0,4334975369","0,4943389551","0,4944852941","0,4248705959",41,95,44,20
SentiWSDichotom,noExtension_textblob_textLemma_standardList_caseSensitive,noExtension,textblob,textLemma,standardList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_textblob_textLemma_enhancedList_caseInSensitive,noExtension,textblob,textLemma,enhancedList,caseInSensitive,"0,435","0,5573770492","0,2833333333","0,3756906077","0,381294964","0,6625","0,4840182648","0,4693360066","0,4729166667","0,4298544363",34,86,53,27
SentiWSDichotom,noExtension_textblob_textLemma_enhancedList_caseSensitive,noExtension,textblob,textLemma,enhancedList,caseSensitive,"0,42","0,5409836066","0,2727272727","0,3626373626","0,3669064748","0,6455696203","0,4678899083","0,4539450407","0,4591484465","0,4152636354",33,88,51,28
SentiWSDichotom,noExtension_textblob_textLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,425","0,6557377049","0,2985074627","0,4102564103","0,3237410072","0,6818181818","0,4390243902","0,4897393561","0,4901628223","0,4246404003",40,94,45,21
SentiWSDichotom,noExtension_textblob_textLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,41","0,6557377049","0,2919708029","0,404040404","0,3021582734","0,6666666667","0,4158415842","0,4789479892","0,4793187348","0,4099409941",40,97,42,21
SentiWSDichotom,noExtension_treetagger_bothLemma_noStopwordList_caseInSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,395","0,8032786885","0,3101265823","0,4474885845","0,2158273381","0,7142857143","0,3314917127","0,5095530133","0,5122061483","0,3894901486",49,109,30,12
SentiWSDichotom,noExtension_treetagger_bothLemma_noStopwordList_caseSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseSensitive,"0,405","0,8196721311","0,3164556962","0,4566210046","0,2230215827","0,7380952381","0,3425414365","0,5213468569","0,5272754671","0,3995812205",50,108,31,11
SentiWSDichotom,noExtension_treetagger_bothLemma_standardList_caseInSensitive,noExtension,treetagger,bothLemma,standardList,caseInSensitive,"0,41","0,7868852459","0,3137254902","0,4485981308","0,2446043165","0,7234042553","0,3655913978","0,5157447812","0,5185648728","0,4070947643",48,105,34,13
SentiWSDichotom,noExtension_treetagger_bothLemma_standardList_caseSensitive,noExtension,treetagger,bothLemma,standardList,caseSensitive,"0,415","0,8032786885","0,3181818182","0,4558139535","0,2446043165","0,7391304348","0,3675675676","0,5239415025","0,5286561265","0,4116907605",49,105,34,12
SentiWSDichotom,noExtension_treetagger_bothLemma_enhancedList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedList,caseInSensitive,"0,42","0,4754098361","0,2566371681","0,3333333333","0,3956834532","0,632183908","0,4867256637","0,4355466447","0,4444105381","0,4100294985",29,84,55,32
SentiWSDichotom,noExtension_treetagger_bothLemma_enhancedList_caseSensitive,noExtension,treetagger,bothLemma,enhancedList,caseSensitive,"0,415","0,4754098361","0,2543859649","0,3314285714","0,3884892086","0,6279069767","0,48","0,4319495223","0,4411464708","0,4057142857",29,85,54,32
SentiWSDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,415","0,6885245902","0,3","0,4179104478","0,2949640288","0,6833333333","0,4120603015","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
SentiWSDichotom,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,415","0,7049180328","0,3028169014","0,4236453202","0,2877697842","0,6896551724","0,4060913706","0,4963439085","0,4962360369","0,4148683454",43,99,40,18
SentiWSDichotom,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,45","0,6885245902","0,3157894737","0,4329896907","0,345323741","0,7164179104","0,4660194175","0,5169241656","0,5161036921","0,4495045541",42,91,48,19
SentiWSDichotom,noExtension_textblob_bothLemma_noStopwordList_caseSensitive,noExtension,textblob,bothLemma,noStopwordList,caseSensitive,"0,42","0,6721311475","0,299270073","0,4141414141","0,309352518","0,6825396825","0,4257425743","0,4907418328","0,4909048778","0,4199419942",41,96,43,20
SentiWSDichotom,noExtension_textblob_bothLemma_standardList_caseInSensitive,noExtension,textblob,bothLemma,standardList,caseInSensitive,"0,45","0,6885245902","0,3157894737","0,4329896907","0,345323741","0,7164179104","0,4660194175","0,5169241656","0,5161036921","0,4495045541",42,91,48,19
SentiWSDichotom,noExtension_textblob_bothLemma_standardList_caseSensitive,noExtension,textblob,bothLemma,standardList,caseSensitive,"0,42","0,6721311475","0,299270073","0,4141414141","0,309352518","0,6825396825","0,4257425743","0,4907418328","0,4909048778","0,4199419942",41,96,43,20
SentiWSDichotom,noExtension_textblob_bothLemma_enhancedList_caseInSensitive,noExtension,textblob,bothLemma,enhancedList,caseInSensitive,"0,465","0,606557377","0,3083333333","0,408839779","0,4028776978","0,7","0,5114155251","0,5047175374","0,5041666667","0,4601276521",37,83,56,24
SentiWSDichotom,noExtension_textblob_bothLemma_enhancedList_caseSensitive,noExtension,textblob,bothLemma,enhancedList,caseSensitive,"0,455","0,606557377","0,3032786885","0,4043715847","0,3884892086","0,6923076923","0,4976958525","0,4975232928","0,4977931904","0,4510337186",37,85,54,24
SentiWSDichotom,noExtension_textblob_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,45","0,6885245902","0,3157894737","0,4329896907","0,345323741","0,7164179104","0,4660194175","0,5169241656","0,5161036921","0,4495045541",42,91,48,19
SentiWSDichotom,noExtension_textblob_bothLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,42","0,6721311475","0,299270073","0,4141414141","0,309352518","0,6825396825","0,4257425743","0,4907418328","0,4909048778","0,4199419942",41,96,43,20
SentiWSDichotom,dtaExtended_tokens_noLemma_noStopwordList_caseInSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseInSensitive,"0,505","0,5737704918","0,3240740741","0,4142011834","0,4748201439","0,7173913043","0,5714285714","0,5242953178","0,5207326892","0,4928148774",35,73,66,26
SentiWSDichotom,dtaExtended_tokens_noLemma_noStopwordList_caseSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseSensitive,"0,5","0,5573770492","0,3177570093","0,4047619048","0,4748201439","0,7096774194","0,5689655172","0,5160985965","0,5137172144","0,486863711",34,73,66,27
SentiWSDichotom,dtaExtended_tokens_noLemma_standardList_caseInSensitive,dtaExtended,tokens,noLemma,standardList,caseInSensitive,"0,415","0,6557377049","0,2941176471","0,4060913706","0,309352518","0,671875","0,4236453202","0,4825451115","0,4829963235","0,4148683454",40,96,43,21
SentiWSDichotom,dtaExtended_tokens_noLemma_standardList_caseSensitive,dtaExtended,tokens,noLemma,standardList,caseSensitive,"0,425","0,6557377049","0,2985074627","0,4102564103","0,3237410072","0,6818181818","0,4390243902","0,4897393561","0,4901628223","0,4246404003",40,94,45,21
SentiWSDichotom,dtaExtended_tokens_noLemma_enhancedList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedList,caseInSensitive,"0,42","0,6229508197","0,2900763359","0,3958333333","0,3309352518","0,6666666667","0,4423076923","0,4769430357","0,4783715013","0,4190705128",38,93,46,23
SentiWSDichotom,dtaExtended_tokens_noLemma_enhancedList_caseSensitive,dtaExtended,tokens,noLemma,enhancedList,caseSensitive,"0,43","0,6229508197","0,2945736434","0,4","0,345323741","0,676056338","0,4571428571","0,4841372803","0,4853149907","0,4285714286",38,91,48,23
SentiWSDichotom,dtaExtended_tokens_noLemma_enhancedFilteredList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,405","0,6885245902","0,2957746479","0,4137931034","0,2805755396","0,6724137931","0,3959390863","0,4845500649","0,4840942205","0,4048660949",42,100,39,19
SentiWSDichotom,dtaExtended_tokens_noLemma_enhancedFilteredList_caseSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,415","0,6885245902","0,3","0,4179104478","0,2949640288","0,6833333333","0,4120603015","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
SentiWSDichotom,dtaExtended_treetagger_textLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseInSensitive,"0,5","0,5901639344","0,3243243243","0,4186046512","0,4604316547","0,7191011236","0,5614035088","0,5252977946","0,521712724","0,49000408",36,75,64,25
SentiWSDichotom,dtaExtended_treetagger_textLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseSensitive,"0,495","0,5573770492","0,3148148148","0,4023668639","0,4676258993","0,7065217391","0,5627705628","0,5125014742","0,510668277","0,4825687133",34,74,65,27
SentiWSDichotom,dtaExtended_treetagger_textLemma_standardList_caseInSensitive,dtaExtended,treetagger,textLemma,standardList,caseInSensitive,"0,455","0,7049180328","0,3208955224","0,441025641","0,345323741","0,7272727273","0,4682926829","0,5251208869","0,5240841248","0,454659162",43,91,48,18
SentiWSDichotom,dtaExtended_treetagger_textLemma_standardList_caseSensitive,dtaExtended,treetagger,textLemma,standardList,caseSensitive,"0,46","0,7049180328","0,3233082707","0,4432989691","0,3525179856","0,7313432836","0,4757281553","0,5287180092","0,5273257771","0,4595135622",43,90,49,18
SentiWSDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,44","0,5245901639","0,2782608696","0,3636363636","0,4028776978","0,6588235294","0,5","0,4637339309","0,4685421995","0,4318181818",32,83,56,29
SentiWSDichotom,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,445","0,5245901639","0,2807017544","0,3657142857","0,4100719424","0,6627906977","0,5066666667","0,4673310532","0,471746226","0,4361904762",32,82,57,29
SentiWSDichotom,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,415","0,6885245902","0,3","0,4179104478","0,2949640288","0,6833333333","0,4120603015","0,4917443095","0,4916666667","0,4149853746",42,98,41,19
SentiWSDichotom,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,42","0,6885245902","0,3021582734","0,42","0,3021582734","0,6885245902","0,42","0,4953414318","0,4953414318","0,42",42,97,42,19
SentiWSDichotom,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,505","0,5573770492","0,320754717","0,4071856287","0,4820143885","0,7127659574","0,5751072961","0,5196957188","0,5167603372","0,4911464624",34,72,67,27
SentiWSDichotom,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,5","0,5409836066","0,3142857143","0,3975903614","0,4820143885","0,7052631579","0,5726495727","0,5114989975","0,5097744361","0,485119967",33,72,67,28
SentiWSDichotom,dtaExtended_textblob_textLemma_standardList_caseInSensitive,dtaExtended,textblob,textLemma,standardList,caseInSensitive,"0,45","0,7049180328","0,3185185185","0,4387755102","0,3381294964","0,7230769231","0,4607843137","0,5215237646","0,5207977208","0,449779912",43,92,47,18
SentiWSDichotom,dtaExtended_textblob_textLemma_standardList_caseSensitive,dtaExtended,textblob,textLemma,standardList,caseSensitive,"0,455","0,7049180328","0,3208955224","0,441025641","0,345323741","0,7272727273","0,4682926829","0,5251208869","0,5240841248","0,454659162",43,91,48,18
SentiWSDichotom,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,425","0,606557377","0,2890625","0,3915343915","0,345323741","0,6666666667","0,4549763033","0,475940559","0,4778645833","0,4232553474",37,91,48,24
SentiWSDichotom,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,435","0,606557377","0,2936507937","0,3957219251","0,3597122302","0,6756756757","0,4694835681","0,4831348036","0,4846632347","0,4326027466",37,89,50,24
SentiWSDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,425","0,7213114754","0,3098591549","0,4334975369","0,2949640288","0,7068965517","0,4162436548","0,5081377521","0,5083778533","0,4248705959",44,98,41,17
SentiWSDichotom,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,435","0,7213114754","0,3142857143","0,4378109453","0,309352518","0,7166666667","0,432160804","0,5153319967","0,5154761905","0,4349858746",44,96,43,17
SentiWSDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,495","0,4262295082","0,2826086957","0,339869281","0,5251798561","0,6759259259","0,5910931174","0,4757046822","0,4792673108","0,4654811992",26,66,73,35
SentiWSDichotom,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,455","0,5409836066","0,2894736842","0,3771428571","0,4172661871","0,6744186047","0,5155555556","0,4791248968","0,4819461444","0,4463492063",33,81,58,28
SentiWSDichotom,dtaExtended_treetagger_bothLemma_standardList_caseInSensitive,dtaExtended,treetagger,bothLemma,standardList,caseInSensitive,"0,43","0,7213114754","0,3120567376","0,4356435644","0,3021582734","0,7118644068","0,4242424242","0,5117348744","0,5119605722","0,4299429943",44,97,42,17
SentiWSDichotom,dtaExtended_treetagger_bothLemma_standardList_caseSensitive,dtaExtended,treetagger,bothLemma,standardList,caseSensitive,"0,43","0,7213114754","0,3120567376","0,4356435644","0,3021582734","0,7118644068","0,4242424242","0,5117348744","0,5119605722","0,4299429943",44,97,42,17
SentiWSDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,45","0,5573770492","0,2905982906","0,3820224719","0,4028776978","0,6746987952","0,5045045045","0,4801273735","0,4826485429","0,4432634882",34,83,56,27
SentiWSDichotom,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,45","0,5573770492","0,2905982906","0,3820224719","0,4028776978","0,6746987952","0,5045045045","0,4801273735","0,4826485429","0,4432634882",34,83,56,27
SentiWSDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,43","0,7213114754","0,3120567376","0,4356435644","0,3021582734","0,7118644068","0,4242424242","0,5117348744","0,5119605722","0,4299429943",44,97,42,17
SentiWSDichotom,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,425","0,7213114754","0,3098591549","0,4334975369","0,2949640288","0,7068965517","0,4162436548","0,5081377521","0,5083778533","0,4248705959",44,98,41,17
SentiWSDichotom,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,465","0,7868852459","0,338028169","0,4729064039","0,3237410072","0,775862069","0,4568527919","0,5553131265","0,556945119","0,4648795979",48,94,45,13
SentiWSDichotom,dtaExtended_textblob_bothLemma_noStopwordList_caseSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseSensitive,"0,42","0,8196721311","0,3225806452","0,462962963","0,2446043165","0,7555555556","0,3695652174","0,5321382238","0,5390681004","0,4162640902",50,105,34,11
SentiWSDichotom,dtaExtended_textblob_bothLemma_standardList_caseInSensitive,dtaExtended,textblob,bothLemma,standardList,caseInSensitive,"0,42","0,6721311475","0,299270073","0,4141414141","0,309352518","0,6825396825","0,4257425743","0,4907418328","0,4909048778","0,4199419942",41,96,43,20
SentiWSDichotom,dtaExtended_textblob_bothLemma_standardList_caseSensitive,dtaExtended,textblob,bothLemma,standardList,caseSensitive,"0,415","0,7213114754","0,3055555556","0,4292682927","0,2805755396","0,6964285714","0,4","0,5009435075","0,5009920635","0,4146341463",44,100,39,17
SentiWSDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,415","0,6229508197","0,2878787879","0,3937823834","0,3237410072","0,6617647059","0,4347826087","0,4733459134","0,4748217469","0,4142824961",38,94,45,23
SentiWSDichotom,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,42","0,6393442623","0,2932330827","0,4020618557","0,3237410072","0,671641791","0,4368932039","0,4815426347","0,4824374369","0,4194775298",39,94,45,22
SentiWSDichotom,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,4","0,7049180328","0,2965517241","0,4174757282","0,2661870504","0,6727272727","0,381443299","0,4855525416","0,4846394984","0,3994595136",43,102,37,18
SentiWSDichotom,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,41","0,7540983607","0,3087248322","0,4380952381","0,2589928058","0,7058823529","0,3789473684","0,5065455832","0,5073035926","0,4085213033",46,103,36,15
