Lexicon,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,recallPositive,precisionPositive,F-MeasurePositive,recallNegative,precisionNegative,F-MeasureNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polaritySentiWS,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,61","0,5737704918","0,4022988506","0,472972973","0,6258992806","0,7699115044","0,6904761905","0,5998348862","0,5861051775","0,5817245817",35,52,87,26
polaritySentiWS,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,675","0,3442622951","0,4565217391","0,3925233645","0,8201438849","0,7402597403","0,7781569966","0,58220309","0,5983907397","0,5853401805",21,25,114,40
polaritySentiWS,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,67","0,3114754098","0,4418604651","0,3653846154","0,8273381295","0,7324840764","0,777027027","0,5694067697","0,5871722708","0,5712058212",19,24,115,42
polaritySentiWS,dtaExtended_textblob_textLemma_standardList_caseInSensitive,dtaExtended,textblob,textLemma,standardList,caseInSensitive,"0,57","0,5901639344","0,3711340206","0,4556962025","0,5611510791","0,7572815534","0,6446280992","0,5756575068","0,564207787","0,5501621509",36,61,78,25
polaritySentiWS,dtaExtended_textblob_textLemma_standardList_caseSensitive,dtaExtended,textblob,textLemma,standardList,caseSensitive,"0,57","0,5737704918","0,3684210526","0,4487179487","0,5683453237","0,7523809524","0,6475409836","0,5710579078","0,5604010025","0,5481294662",35,60,79,26
polaritySentiWS,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,595","0,4754098361","0,3717948718","0,4172661871","0,6474820144","0,737704918","0,6896551724","0,5614459252","0,5547498949","0,5534606797",29,49,90,32
polaritySentiWS,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,595","0,4590163934","0,3684210526","0,4087591241","0,654676259","0,7338709677","0,6920152091","0,5568463262","0,5511460102","0,5503871666",28,48,91,33
polaritySentiWS,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,58","0,5409836066","0,3707865169","0,44","0,5971223022","0,7477477477","0,664","0,5690529544","0,5592671323","0,552",33,56,83,28
polaritySentiWS,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,58","0,5245901639","0,367816092","0,4324324324","0,6043165468","0,7433628319","0,6666666667","0,5644533553","0,5555894619","0,5495495496",32,55,84,29
polaritySentiWS,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,66","0,393442623","0,4363636364","0,4137931034","0,7769784173","0,7448275862","0,7605633803","0,5852105201","0,5905956113","0,5871782419",24,31,108,37
polaritySentiWS,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,65","0,5081967213","0,4366197183","0,4696969697","0,7122302158","0,7674418605","0,7388059701","0,6102134686","0,6020307894","0,6042514699",31,40,99,30
polaritySentiWS,dtaExtended_treetagger_bothLemma_standardList_caseInSensitive,dtaExtended,treetagger,bothLemma,standardList,caseInSensitive,"0,555","0,6229508197","0,3653846154","0,4606060606","0,5251798561","0,7604166667","0,6212765957","0,5740653379","0,562900641","0,5409413282",38,66,73,23
polaritySentiWS,dtaExtended_treetagger_bothLemma_standardList_caseSensitive,dtaExtended,treetagger,bothLemma,standardList,caseSensitive,"0,555","0,6229508197","0,3653846154","0,4606060606","0,5251798561","0,7604166667","0,6212765957","0,5740653379","0,562900641","0,5409413282",38,66,73,23
polaritySentiWS,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,615","0,4098360656","0,3787878788","0,3937007874","0,7050359712","0,7313432836","0,7179487179","0,5574360184","0,5550655812","0,5558247527",25,41,98,36
polaritySentiWS,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,615","0,4098360656","0,3787878788","0,3937007874","0,7050359712","0,7313432836","0,7179487179","0,5574360184","0,5550655812","0,5558247527",25,41,98,36
polaritySentiWS,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,585","0,5901639344","0,3829787234","0,464516129","0,582733813","0,7641509434","0,6612244898","0,5864488737","0,5735648334","0,5628703094",36,58,81,25
polaritySentiWS,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,585","0,5901639344","0,3829787234","0,464516129","0,582733813","0,7641509434","0,6612244898","0,5864488737","0,5735648334","0,5628703094",36,58,81,25
polaritySentiWS,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,645","0,5573770492","0,4358974359","0,4892086331","0,6834532374","0,7786885246","0,7279693487","0,6204151433","0,6072929802","0,6085889909",34,44,95,27
polaritySentiWS,dtaExtended_textblob_bothLemma_noStopwordList_caseSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseSensitive,"0,67","0,606557377","0,4683544304","0,5285714286","0,6978417266","0,8016528926","0,7461538462","0,6521995518","0,6350036615","0,6373626374",37,42,97,24
polaritySentiWS,dtaExtended_textblob_bothLemma_standardList_caseInSensitive,dtaExtended,textblob,bothLemma,standardList,caseInSensitive,"0,58","0,606557377","0,381443299","0,4683544304","0,5683453237","0,7669902913","0,652892562","0,5874513504","0,5742167951","0,5606234962",37,60,79,24
polaritySentiWS,dtaExtended_textblob_bothLemma_standardList_caseSensitive,dtaExtended,textblob,bothLemma,standardList,caseSensitive,"0,58","0,6229508197","0,3838383838","0,475","0,5611510791","0,7722772277","0,65","0,5920509494","0,5780578058","0,5625",38,61,78,23
polaritySentiWS,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,605","0,5245901639","0,3902439024","0,4475524476","0,6402877698","0,7542372881","0,6926070039","0,5824389669","0,5722405953","0,5700797257",32,50,89,29
polaritySentiWS,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,575","0,5245901639","0,3636363636","0,4295302013","0,5971223022","0,7410714286","0,6613545817","0,560856233","0,5523538961","0,5454423915",32,56,83,29
polaritySentiWS,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,575","0,5901639344","0,375","0,4585987261","0,5683453237","0,7596153846","0,6502057613","0,5792546291","0,5673076923","0,5544022437",36,60,79,25
polaritySentiWS,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseSensitive,"0,56","0,606557377","0,3663366337","0,4567901235","0,5395683453","0,7575757576","0,6302521008","0,5730628612","0,5619561956","0,5435211121",37,64,75,24
