Metric,DTAExtension,Lemmatizer,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityNrc,dtaExtended,pattern,noStopwordList,caseSensitive,"0,495","0,4161849711","0,5550660793","0,5901639344","0,3214285714","0,4532374101","0,7159090909","0,5217006722","0,5186688312","0,4856255252",36,76,63,25
polarityNrc,dtaExtended,pattern,noStopwordList,caseInSensitive,"0,49","0,4069767442","0,5526315789","0,5737704918","0,3153153153","0,4532374101","0,7078651685","0,5135039509","0,5115902419","0,4798041616",35,76,63,26
polarityNrc,dtaExtended,treetagger,enhancedList,caseSensitive,"0,49","0,3855421687","0,5641025641","0,5245901639","0,3047619048","0,4748201439","0,6947368421","0,4997051539","0,4997493734","0,4748223664",32,73,66,29
emotion,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,485","0,5071770335","0,4607329843","0,868852459","0,3581081081","0,3165467626","0,8461538462","0,5926996108","0,6021309771","0,4839550089",53,95,44,8
emotion,dtaExtended,treetagger,noStopwordList,caseSensitive,"0,48","0,5","0,4583333333","0,8524590164","0,3537414966","0,3165467626","0,8301886792","0,5845028895","0,5919650879","0,4791666667",52,95,44,9
emotion,dtaExtended,pattern,enhancedList,caseInSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
emotion,dtaExtended,pattern,enhancedList,caseSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
emotion,dtaExtended,pattern,enhancedList,caseInSensitive,"0,465","0,4780487805","0,4512820513","0,8032786885","0,3402777778","0,3165467626","0,7857142857","0,5599127256","0,5629960317","0,4646654159",49,95,44,12
polarityBawlDichotom,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,dtaExtended,treetagger,enhancedList,caseSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,noExtension,noLemmatization,enhancedFilteredList,caseInSensitive,"0,4","0,4642857143","0,3181818182","0,8524590164","0,3190184049","0,2014388489","0,7567567568","0,5269489327","0,5378875808","0,3912337662",52,111,28,9
polarityBawlDichotom,noExtension,treetagger,enhancedFilteredList,caseSensitive,"0,4","0,4736842105","0,3023255814","0,8852459016","0,3233532934","0,1870503597","0,7878787879","0,5361481307","0,5556160406","0,388004896",54,113,26,7
polarityBawlDichotom,dtaExtended,pattern,enhancedList,caseInSensitive,"0,4","0,4495412844","0,3406593407","0,8032786885","0,3121019108","0,2230215827","0,7209302326","0,5131501356","0,5165160717","0,3951003125",49,108,31,12
