Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityNrc,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,525","0,4378698225","0,5887445887","0,606557377","0,3425925926","0,4892086331","0,7391304348","0,5478830051","0,5408615137","0,5133072056",37,71,68,24
polarityNrc,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,5","0,4047619048","0,5689655172","0,5573770492","0,3177570093","0,4748201439","0,7096774194","0,5160985965","0,5137172144","0,486863711",34,73,66,27
polarityNrc,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,495","0,4161849711","0,5550660793","0,5901639344","0,3214285714","0,4532374101","0,7159090909","0,5217006722","0,5186688312","0,4856255252",36,76,63,25
polarityNrc,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,49","0,4069767442","0,5526315789","0,5737704918","0,3153153153","0,4532374101","0,7078651685","0,5135039509","0,5115902419","0,4798041616",35,76,63,26
polarityNrc,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,49","0,3855421687","0,5641025641","0,5245901639","0,3047619048","0,4748201439","0,6947368421","0,4997051539","0,4997493734","0,4748223664",32,73,66,29
polarityNrc,dtaExtended_treetagger_textLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseInSensitive,"0,485","0,4046242775","0,5462555066","0,5737704918","0,3125","0,4460431655","0,7045454545","0,5099068286","0,5085227273","0,475439892",35,77,62,26
polarityNrc,dtaExtended_treetagger_textLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseSensitive,"0,485","0,4046242775","0,5462555066","0,5737704918","0,3125","0,4460431655","0,7045454545","0,5099068286","0,5085227273","0,475439892",35,77,62,26
polarityNrc,dtaExtended_treetagger_bothLemma_standardList_caseInSensitive,dtaExtended,treetagger,bothLemma,standardList,caseInSensitive,"0,48","0,4468085106","0,5094339623","0,6885245902","0,3307086614","0,3884892086","0,7397260274","0,5385068994","0,5352173444","0,4781212365",42,85,54,19
polarityNrc,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,475","0,3786982249","0,5454545455","0,5245901639","0,2962962963","0,4532374101","0,6847826087","0,488913787","0,4905394525","0,4620763852",32,76,63,29
polarityNrc,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,47","0,369047619","0,5431034483","0,5081967213","0,2897196262","0,4532374101","0,6774193548","0,4807170657","0,4835694905","0,4560755337",31,76,63,30
polarityNrc,dtaExtended_treetagger_bothLemma_standardList_caseSensitive,dtaExtended,treetagger,bothLemma,standardList,caseSensitive,"0,47","0,4361702128","0,5","0,6721311475","0,3228346457","0,381294964","0,7260273973","0,5267130558","0,5244310215","0,4680851064",41,86,53,20
polarityNrc,dtaExtended_tokens_noLemma_noStopwordList_caseInSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseInSensitive,"0,465","0,408839779","0,5114155251","0,606557377","0,3083333333","0,4028776978","0,7","0,5047175374","0,5041666667","0,4601276521",37,83,56,24
polarityNrc,dtaExtended_tokens_noLemma_noStopwordList_caseSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseSensitive,"0,465","0,408839779","0,5114155251","0,606557377","0,3083333333","0,4028776978","0,7","0,5047175374","0,5041666667","0,4601276521",37,83,56,24
polarityNrc,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,46","0,4653465347","0,4545454545","0,7704918033","0,3333333333","0,3237410072","0,7627118644","0,5471164052","0,5480225989","0,4599459946",47,94,45,14
polarityNrc,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,46","0,4","0,5090909091","0,5901639344","0,3025210084","0,4028776978","0,6913580247","0,4965208161","0,4969395165","0,4545454545",36,83,56,25
polarityNrc,dtaExtended_tokens_noLemma_enhancedList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedList,caseInSensitive,"0,455","0,3699421965","0,5198237885","0,5245901639","0,2857142857","0,4244604317","0,6704545455","0,4745252978","0,4780844156","0,4448829925",32,80,59,29
polarityNrc,dtaExtended_tokens_noLemma_enhancedList_caseSensitive,dtaExtended,tokens,noLemma,enhancedList,caseSensitive,"0,455","0,3699421965","0,5198237885","0,5245901639","0,2857142857","0,4244604317","0,6704545455","0,4745252978","0,4780844156","0,4448829925",32,80,59,29
polarityNrc,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,455","0,3771428571","0,5155555556","0,5409836066","0,2894736842","0,4172661871","0,6744186047","0,4791248968","0,4819461444","0,4463492063",33,81,58,28
polarityNrc,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,455","0,3771428571","0,5155555556","0,5409836066","0,2894736842","0,4172661871","0,6744186047","0,4791248968","0,4819461444","0,4463492063",33,81,58,28
polarityNrc,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,455","0,4352331606","0,4734299517","0,6885245902","0,3181818182","0,3525179856","0,7205882353","0,5205212879","0,5193850267","0,4543315562",42,90,49,19
polarityNrc,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,45","0,45","0,45","0,737704918","0,3237410072","0,3237410072","0,737704918","0,5307229626","0,5307229626","0,45",45,94,45,16
polarityNrc,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,445","0,4064171123","0,4788732394","0,6229508197","0,3015873016","0,3669064748","0,6891891892","0,4949286472","0,4953882454","0,4426451759",38,88,51,23
